Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/12/2023,Khamis Mushait,45181Khamis Mushait,1593.27,5.1838,3.4949,99.4993,95.4951,0.4091,0.4018,98.577,98.6282,94.0016,0.0019,0,13.9203,96.2609,97.457,96.5608,77.45,99.5773,99.7631
9/12/2023,Bishah,45181Bishah,385.35,2.2131,1.5326,99.5752,96.2819,0.4175,0.3839,99.2805,99.0883,93.7743,0,0,1.8289,97.4257,95.4187,97.7191,4.44,99.9984,99.9985
9/12/2023,Abu Arish,45181Abu Arish,1087.88,2.3393,1.2397,99.604,95.4372,0.5296,0.2914,98.9215,98.7537,90.9978,0.0092,0,1.7523,97.0627,97.9918,97.3247,12.57,97.7928,97.8489
9/12/2023,Muhayel,45181Muhayel,250.56,1.8001,2.0628,99.5402,94.5353,0.4495,0.2782,98.8888,98.9246,95.082,0.1571,0,0.2221,99.1634,96.2529,99.1694,0,97.125,99.6545
9/12/2023,Jizan,45181Jizan,1301.44,4.2511,2.8268,99.6345,96.1803,0.3309,0.2714,98.8678,98.9112,90.8832,0.0208,0,1.8361,97.9323,98.7324,98.0227,5.87,100,100
9/12/2023,Najran,45181Najran,2232.32,7.7542,4.8515,99.7619,96.9098,0.3445,0.1805,99.5185,99.6375,95.3089,0.1798,0,2.0699,98.0556,98.2594,98.259,18.91,99.9287,99.9296
9/12/2023,Sabya,45181Sabya,2232.57,2.9847,1.9,99.4522,94.269,0.3989,0.486,99.2555,99.3622,93.9881,0.0643,0,1.1181,97.6824,97.9934,98.0428,222.12,99.6618,99.6002
9/12/2023,Southern Region All,45181Southern Region All,60176.15,130.2365,85.1847,99.2229,103.4823,1.094,0.4501,95.4135,96.8035,96.2001,0.3194,0.1605,2.9188,97.8604,95.2995,97.6476,1944.18,98.1463,98.2793
9/12/2023,Southern Region,45181Southern Region,36361.66,101.6072,65.7004,99.2868,103.7633,0.7248,0.4555,95.8791,96.9421,95.6711,0.2687,0.1147,3.449,97.9527,96.2239,97.7094,955.07,98.7111,98.8494
9/12/2023,USF8,45181USF8,23630.13,27.4889,18.5971,99.005,102.4483,2.336,0.4184,94.2905,96.5131,97.3495,0.6156,0.3295,0.5693,97.5558,84.4348,97.4569,986.92,96.1908,96.3798
