Date,Time,LTE Cell Group,Integrity,VOLTE Traffic Erl,Connected User Avg (VoIP),DL Active User Avg (VoIP),DL Throughput QCI.1 Mbps (VoIP),SRVCC Success Rate Overall,SRVCC Success Rate Overall (E2G),SRVCC Success Rate Overall (E2W),Mobily VoLTE Call Drop%,E-RAB Setup Success Rate QCI.1 (VoIP),UL Mute call %(%),DL Mute call %(%),UL Packet Loss Rate QCI.1 (VoIP),UL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.1 (VoIP),E2E VQI Avg (VoIP),DL VQI Avg (VoIP),UL VQI Avg (VoIP),QCI1 DL IBLER(%),QCI1 UL IBLER(%),UEs in the DRX sleep state Ratio,SRVCC Failuers,L.E-RAB.AbnormRel.MMETot.VoIP,L.E-RAB.AbnormRel.MME.HOOut.QCI.1,L.E-RAB.AbnormRel.MME.EUtranGen.VoIP,L.Voice.DL.PktNum.AMRNB.12.2,L.Voice.DL.PktNum.AMRWB.23.85,L.E-RAB.FailEst.NoRadioRes.DLThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ULThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ThrpLic.VoIP,L.Cell.Unavail.Dur.Sys(s),Cell.Availability(%),Availability Duration(s),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,01:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,427.1249,473.6377,166.5471,0.5312,95.4248,80,96.5035,0.3921,99.9782,0.0514,0.0479,0.0604,0.0144,0.0215,0.0202,3.6073,3.6348,3.6473,1.7209,3.3542,72.6029,7,31,3,20,22669568,13596178,0,0,0,43355,99.5765,9827845,99.6005,99.3869,99.9993,5013.4003,1851.7139,50.1725,19.8979,13811.5963,34.4404,33.5029,0.0383,99.7257,99.5904,19.8439,30.3206,4.5139,99.5765,9827845
2023-11-14,01:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,119.9678,131.8585,47.4038,0.5203,97.1154,100,96.9697,0.5041,99.9631,0.0584,0.0564,0.0519,0.0049,0.0292,0.0112,3.5766,3.6057,3.6237,2.5764,3.4636,71.0924,3,11,2,9,5704686,2759392,0,0,0,4400,99.9065,4625200,99.9932,98.8793,100,2510.2362,830.7574,45.063,16.0133,4198.7455,35.3838,38.5975,0.0263,99.7774,99.8131,16.6267,36.0263,4.5228,99.9065,4625200
2023-11-14,01:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,403.2985,459.5863,155.0068,0.5128,98.7988,97.7273,98.9619,0.1943,99.96,0.1055,0.1017,0.076,0.0036,0.0124,0.0232,3.5786,3.6087,3.6068,2.5488,3.4357,72.875,4,43,5,16,19984957,9875254,0,0,0,115350,98.4011,6847050,97.357,98.7831,99.8839,3676.9716,1557.3385,44.347,20.1677,8523.8007,34.063,34.4636,0.0254,99.4555,99.7666,18.4075,32.9664,4.5004,98.4011,6847050
2023-11-14,01:00,"Cluster=USF8 CL1,Rule Name=Opt Clusters",1,0.0018,0.0022,0.0002,0.2915,100,,100,0,,0,0,0.4444,0.2786,0.1955,0,3.9,3.9,3.5,2.2124,8.2051,,0,0,0,0,0,0,0,0,0,0,100,39600,100,87.5,100,2.063,0.9775,31.5117,16.0322,6.8731,62.2397,39.9778,0,99.6732,100,11.5199,28.8516,3.2101,100,39600
2023-11-14,01:00,"Cluster=USF8 CL2,Rule Name=Opt Clusters",1,0.0298,0.0333,0.0092,0.4361,100,,100,0,100,0,0,0.055,0,0,0,3.9939,3.9939,4.004,4.2482,2.3064,50.9626,0,0,0,0,0,1167,0,0,0,0,100,14400,100,100,100,0,0,0,0,0,,,,,,7.6965,22.1637,3.1878,100,14400
2023-11-14,01:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,147.0544,159.426,59.5985,0.5147,95.8763,91.6667,96.4706,0.3787,100,0.058,0.0456,0.0329,0.0013,0.0104,0.0118,3.5548,3.5857,3.5992,2.6678,2.9662,71.8485,4,13,1,7,7669255,2981311,0,0,0,0,100,5072400,99.9959,99.1008,100,1831.218,657.0866,39.3454,15.1592,3918.6767,46.5866,42.7593,0.0059,99.7907,99.7898,13.495,34.1252,4.3644,100,5072400
2023-11-14,01:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,433.5472,491.5669,172.2224,0.5087,98.1873,96.9697,98.3221,0.4371,99.9531,0.0887,0.0825,0.0535,0.0066,0.0128,0.0178,3.5755,3.6065,3.6157,2.5303,3.6016,71.3444,6,72,17,50,20770901,9773189,0,0,0,0,100,6667200,99.9991,98.9228,100,4674.968,1894.4216,44.0623,19.1719,9339.9193,31.3784,33.8514,0.031,99.8082,99.7219,20.5634,34.8678,4.7219,100,6667200
2023-11-14,01:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,273.066,301.2033,106.8455,0.5011,98.6577,100,98.374,0.1067,100,0.0548,0.0495,0.0319,0.0018,0.0095,0.0157,3.5707,3.5987,3.6358,1.9091,3.4521,73.2222,2,8,0,5,14719186,6262047,0,0,0,97200,98.5554,6501600,100,99.2442,100,3511.4928,1093.6853,46.0051,15.3853,7998.7585,32.354,31.2068,0.0267,99.7382,99.6893,18.6125,33.0039,4.9542,98.5554,6501600
2023-11-14,01:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,30.1867,32.7484,13.0596,0.5673,95,90,100,0.6565,100,0.0703,0.0577,0.021,0.0248,0.1575,0.0087,3.5898,3.627,3.6081,1.95,3.7041,68.6636,1,3,0,3,1578206,841546,0,0,0,0,100,1400400,100,99.1056,100,851.3074,301.5628,55.8807,21.2546,1336.1814,28.2813,32.4144,0.0349,99.824,99.8289,16.9372,35.5518,5.3692,100,1400400
2023-11-14,01:00,Jazan Province,1,837.8875,952.2719,327.6284,0.5106,98.494,97.4026,98.6371,0.3253,99.9563,0.0967,0.0917,0.0643,0.0051,0.0128,0.0204,3.5767,3.6073,3.6111,2.538,3.5201,72.0419,10,115,22,66,40823189,19650530,0,0,0,115350,99.1874,13582650,98.5925,98.8509,99.9386,8362.6551,3453.1829,44.2412,19.6156,17886.1834,32.528,34.129,0.0283,99.6364,99.7418,19.4333,33.9968,4.6197,99.1874,13582650
2023-11-14,01:00,Aseer Province,1,910.3743,1008.7871,359.317,0.5262,96.3883,92.3077,96.7822,0.3417,99.9749,0.0515,0.0505,0.0502,0.0109,0.0207,0.0185,3.5907,3.6199,3.6376,2.0155,3.3091,72.8074,16,88,6,40,48093759,25928118,0,0,0,47800,99.8375,28356200,99.7927,99.3543,99.9997,12053.7072,4308.0692,47.4145,18.1959,29363.321,37.4707,36.3979,0.0302,99.3598,99.6581,16.8307,31.9413,4.5308,99.8375,28356200
2023-11-14,01:00,Najran Province,1,304.2772,334.9998,120.3338,0.5087,98.2249,97.2222,98.4962,0.1663,100,0.0561,0.0501,0.0309,0.0053,0.0314,0.015,3.5753,3.6041,3.6339,1.9137,3.4758,72.6798,3,11,0,8,16297857,7238277,0,0,0,97200,98.8111,7916400,100,99.2195,100,4374.4997,1395.2481,47.5866,16.297,9359.1738,31.4853,31.4601,0.0277,99.749,99.7116,18.3223,33.3998,5.0108,98.8111,7916400
2023-11-14,02:00,Southern Region,1,1396.6721,1600.3779,534.2458,0.521,98.5525,96.875,98.7722,0.3312,99.9593,0.0749,0.0819,0.0479,0.0086,0.0193,0.0173,3.5923,3.6201,3.6366,2.1562,3.3827,73.1825,12,143,8,80,66572792,36078877,0,0,0,291885,99.4774,53627010,99.5196,98.9766,99.9664,22978.6181,8422.8002,46.5369,18.316,53213.7429,39.4448,38.3466,0.031,99.3462,99.699,16.6716,33.5556,4.7339,99.4774,53627010
2023-11-14,02:00,Southern Remote,1,549.9597,628.2559,211.3734,0.5271,98.6817,95.8904,99.1266,0.316,99.9548,0.0883,0.0908,0.0486,0.0148,0.0301,0.0155,3.6024,3.6325,3.641,2.4235,3.4682,70.9031,7,61,5,28,23886908,13610098,0,0,0,83080,99.5968,20331620,98.7668,98.0907,99.8997,10462.8072,4255.5796,47.0475,20.5469,21322.3896,37.5907,37.8221,0.0212,99.4856,99.8163,14.8985,35.6327,4.5287,99.5968,20331620
2023-11-14,02:00,Southern City,1,813.4312,930.753,310.3915,0.5172,98.2014,100,98.0989,0.3415,99.965,0.0655,0.0734,0.0476,0.003,0.0086,0.018,3.5862,3.6118,3.6357,1.9987,3.3059,74.8081,5,79,2,50,41012251,21666612,0,0,0,173695,99.4443,29539700,99.8635,99.4442,99.9971,11127.5038,3763.0095,46.1965,16.7744,29569.9532,41.4563,38.8668,0.0364,99.2459,99.6266,17.3469,31.419,4.8209,99.4443,29539700
2023-11-14,02:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,133.9905,156.1289,52.8496,0.5323,100,100,100,0.6274,99.9039,0.0502,0.0603,0.0275,0.016,0.0357,0.0143,3.5894,3.6228,3.6578,1.6461,3.3496,75.7523,0,25,0,14,7093438,3637281,0,0,0,16310,99.8259,8897290,99.6214,99.5366,99.9627,2260.9889,809.4468,52.2356,20.0797,6524.7732,45.0814,39.0864,0.0233,97.7022,99.5248,14.0446,30.3684,4.5997,99.8259,8897290
2023-11-14,02:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,244.3054,276.4062,93.4707,0.5319,97.1831,100,97.1429,0.1938,99.9274,0.0514,0.0659,0.0424,0.0147,0.0207,0.0136,3.6097,3.6348,3.646,1.5316,3.1939,73.6193,2,10,0,5,12184466,7302401,0,0,0,54235,99.4703,9814970,99.2157,99.2644,99.9886,4121.2066,1543.1162,50.4757,20.2935,12267.2798,40.5747,37.4624,0.0538,99.7491,99.6271,18.009,30.46,4.5252,99.4703,9814970
2023-11-14,02:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,78.4436,87.7416,30.1062,0.5124,98.6842,100,98.6486,0.3902,99.9422,0.0433,0.0674,0.1321,0.0057,0.018,0.0194,3.57,3.5941,3.6451,3.0271,3.6434,71.6628,1,8,1,3,3797421,1523215,0,0,0,4075,99.9134,4625525,99.9247,98.9187,100,2208.0822,710.1317,44.9978,15.5387,3868.5235,38.9614,39.9625,0.0239,99.5385,99.8228,15.6198,36.3072,4.6363,99.9134,4625525
2023-11-14,02:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,281.5501,324.4391,104.7518,0.5188,99.0868,100,98.9474,0.2694,99.9758,0.089,0.0921,0.0523,0.0057,0.0093,0.0142,3.5981,3.6248,3.6175,2.4952,3.1627,73.2083,2,22,3,14,13057507,7232037,0,0,0,27840,99.6181,6949050,99.8228,98.7801,99.9994,3313.6372,1445.0942,44.23,20.7113,7692.5923,39.5044,39.1059,0.0193,99.0474,99.7824,17.1215,33.425,4.4899,99.6181,6949050
