Date,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %,RRC Cong,CS Cong,PS Cong,CS Drops,PS Drops
9/11/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45180Cluster=Jizan CL2,Rule Name=Opt Clusters",13376.72,4509.2395,612.0365,923.7713,99.9919,99.8557,99.6698,0.13,0.3134,95.1145,3095.1406,-104.7259,22.367,18.2733,40.5264,99.1594,95.0576,1652,505667,10688,0,0,505667,418213,3.1194,3.7645,4.0809,5493,7054,302134,99.1214,248,0,63,704,14563
9/11/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45180Cluster=Aseer CL4,Rule Name=Opt Clusters",3629.81,3405.2777,433.5903,628.5193,99.9884,99.96,99.8402,0.3023,0.2972,97.7011,3585.3659,-105.3284,23.4478,18.2997,39.7394,99.0693,97.6816,232,96762,5192,0,0,96762,536471,3.1408,3.7773,4.0667,5425,6941,153274,99.5796,0,0,0,363,10697
9/11/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45180Cluster=Najran CL1,Rule Name=Opt Clusters",7643.28,2921.7818,422.6075,537.396,99.9888,99.9217,99.8978,0.1291,0.1492,97.5462,3332.4646,-104.7639,22.9805,18.19,40.0747,98.6179,97.5197,274,292476,6006,0,0,292476,124618,3.1301,3.7609,4.1185,5252,6986,35503,99.8836,0,0,1,396,8458
9/11/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45180Cluster=Najran CL2,Rule Name=Opt Clusters",451.05,277.2167,41.6996,46.5044,100,99.9515,99.861,0.0706,0.1095,98.4826,3883.3937,-105.0578,23.7397,18.4677,38.7811,99.0085,98.4826,31,17934,623,0,0,17934,15818,3.1561,3.7671,4.1226,5347,6948,0,100,0,0,0,14,776
9/11/2023,Aseer Province,45180Aseer Province,19559.63,12147.9105,1587.1602,2338.1595,99.9856,99.9224,99.7569,0.2475,0.2952,96.9289,3737.4626,-103.4168,23.5079,18.2553,38.9942,98.6391,96.9088,746,589552,21869,0,0,589552,1408337,3.1397,3.768,4.0833,5340,6913,1225048,99.0595,72,0,25,1652,44028
9/11/2023,Jazan Province,45180Jazan Province,26414.3,8635.929,1243.6325,1789.6654,99.993,99.8756,99.6472,0.1334,0.3363,95.3506,3080.8373,-104.4629,22.3511,18.1445,40.2573,99.1607,95.3203,4268,977641,21163,0,0,977641,851414,3.1219,3.7632,4.0823,5560,7047,702389,98.7119,248,0,63,1443,30985
9/11/2023,Najran Province,45180Najran Province,8094.33,3198.9984,464.3071,583.9004,99.9895,99.9245,99.8936,0.1255,0.145,97.6924,3373.9621,-104.7945,23.0393,18.21,39.9565,98.6556,97.67,305,310410,6629,0,0,310410,140436,3.1316,3.7612,4.1189,5258,6984,35503,99.8957,0,0,1,410,9234
9/12/2023,RNC701,45181RNC701,9405.24,5502.7782,762.1742,1221.7482,99.992,99.948,99.788,0.2375,0.2952,97.2077,3462.3257,-103.7035,23.2837,18.1009,38.8433,98.5225,97.1376,437,275867,11963,0,0,275867,830748,3.1481,3.7768,4.0876,5309,6896,757296,98.872,0,0,0,760,22261
9/12/2023,RNC704,45181RNC704,7915.67,3401.0943,474.845,595.418,99.9892,99.919,99.9097,0.124,0.1474,97.6435,3408.2487,-104.7943,23.0672,18.3287,40.0304,98.5037,97.6354,286,299979,6503,0,0,299979,150053,3.1332,3.7608,4.1126,5268,6992,28211,99.9184,0,0,0,394,9217
9/12/2023,RNC703,45181RNC703,6839.17,1857.7787,304.5569,477.7637,99.9906,99.9337,99.834,0.2402,0.3051,93.75,3200.7106,-100.3038,23.0313,17.814,38.6109,98.6113,93.75,41,219320,5858,0,0,219320,252020,3.1345,3.7487,4.0933,5359,6949,70410,99.7792,0,0,0,566,10931
9/12/2023,RNC705,45181RNC705,26070.99,8805.0519,1278.3133,1834.4713,99.98,99.7085,99.5292,0.1742,0.3955,95.3844,2914.9601,-104.4775,22.2164,18.0218,40.2661,99.111,95.3546,4461,977282,20912,0,0,977282,867768,3.1203,3.7623,4.0875,5572,7082,1396218,97.8448,9329,290,4278,1888,35717
9/12/2023,RNC706,45181RNC706,2854.39,4833.3251,542.3495,576.6116,99.9874,99.8632,99.6477,0.2999,0.304,96.165,4435.9151,-105.1943,24.1685,19.0827,39.6927,99.0672,96.165,264,75430,3564,0,0,75430,317852,3.1303,3.7772,4.0545,5361,6891,327288,99.1957,4,0,0,268,9891
9/12/2023,Remote Jizan,45181Remote Jizan,14205.95,6258.2707,862.6787,1213.6142,99.9694,99.6222,99.4072,0.2246,0.5001,95.4136,2859.7464,-104.8603,22.1328,18.1591,40.4856,99.0829,95.3837,4422,532392,13019,0,0,532392,642073,3.1198,3.7656,4.0784,5754,7150,1259185,96.9276,9329,290,4278,1419,26568
9/12/2023,Remote Aseer,45181Remote Aseer,7454.1,7540.4382,902.7291,1276.319,99.984,99.9046,99.6931,0.3752,0.4539,96.681,3810.5288,-104.2067,23.5919,18.2352,39.3947,98.5423,96.6278,674,204466,11810,0,0,204466,847590,3.1317,3.7593,4.0626,5430,6962,981947,98.4863,4,0,0,947,28897
9/12/2023,Remote Khamis,45181Remote Khamis,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,NIL,,,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9/12/2023,RNC291,45181RNC291,8662.74,9505.9384,1401.1524,1739.0009,99.9416,99.6594,99.7301,0.5229,0.4754,97.8054,3013.1847,-105.938,23.2046,18.8363,39.3925,99.4934,97.7544,1466,128686,8986,0,0,128686,229008,3.0858,3.6933,4.0909,5109,7261,2705474,96.5813,204,0,154,1226,26093
9/12/2023,Abha,45181Abha,3003.65,735.4093,123.9893,239.1454,99.9922,99.9492,99.8465,0.1112,0.1687,94.3005,3365.4376,-102.9451,23.1029,17.6543,37.5881,98.8928,94.3005,11,96358,2583,0,0,96358,96481,3.154,3.7861,4.1175,5195,6769,2934,99.9884,0,0,0,116,3665
