Sector ,lat,long,azimuth,Cluster
S1584_1,18.08971,42.832921,250,Remote Aseer
S1584_2,18.08971,42.832921,330,Remote Aseer
S1585_0,18.0917,43.1319,0,Remote Najran
S1585_1,18.0917,43.1319,120,Remote Najran
S1585_2,18.0917,43.1319,240,Remote Najran
S1586_0,19.202629,42.068496,30,Remote Aseer
S1586_1,19.202629,42.068496,120,Remote Aseer
S1586_2,19.202629,42.068496,300,Remote Aseer
S1588_0,16.89125,42.564185,0,Jizan
S1588_1,16.89125,42.564185,120,Jizan
S1588_2,16.89125,42.564185,270,Jizan
S1589_0,16.941444,42.548729,0,Jizan
S1589_1,16.941444,42.548729,120,Jizan
S1589_2,16.941444,42.548729,240,Jizan
S1590_0,16.839853,42.581288,90,Jizan
S1590_1,16.839853,42.581288,180,Jizan
S1590_2,16.839853,42.581288,270,Jizan
S1591_0,17.04558,42.58842,60,Remote Jizan
S1591_1,17.04558,42.58842,180,Remote Jizan
S1591_2,17.04558,42.58842,290,Remote Jizan
S1592_0,17.201662,42.64719,60,Remote Jizan
S1592_1,17.201662,42.64719,150,Remote Jizan
S1592_2,17.201662,42.64719,310,Remote Jizan
S1593_0,17.158095,42.633558,90,Sabya
S1593_1,17.158095,42.633558,240,Sabya
S1593_2,17.158095,42.633558,340,Sabya
S1594_0,17.288572,42.602939,0,Remote Jizan
S1594_1,17.288572,42.602939,120,Remote Jizan
S1594_2,17.288572,42.602939,270,Remote Jizan
S1595_0,16.637836,42.943094,0,Remote Jizan
S1595_1,16.637836,42.943094,120,Remote Jizan
S1595_2,16.637836,42.943094,240,Remote Jizan
S1596_0,16.634099,42.911487,90,Remote Jizan
S1596_1,16.634099,42.911487,240,Remote Jizan
S1596_2,16.634099,42.911487,330,Remote Jizan
S1597_0,17.34588,43.13934,90,Remote Jizan
S1597_1,17.34588,43.13934,220,Remote Jizan
S1597_2,17.34588,43.13934,330,Remote Jizan
S1598_0,16.71755,42.97852,60,Remote Jizan
S1598_1,16.71755,42.97852,180,Remote Jizan
S1598_2,16.71755,42.97852,290,Remote Jizan
S1599_0,17.693416,42.313666,90,Remote Jizan
S1599_1,17.693416,42.313666,180,Remote Jizan
S1599_2,17.693416,42.313666,300,Remote Jizan
S1600_0,18.231079,42.46846,10,Abha
S1600_1,18.231079,42.46846,90,Abha
S1600_2,18.231079,42.46846,170,Abha
S1601_0,17.81936,42.34719,30,Remote Jizan
S1601_1,17.81936,42.34719,120,Remote Jizan
S1601_2,17.81936,42.34719,190,Remote Jizan
S1602_0,16.96581,42.54143,0,Jizan
S1602_1,16.96581,42.54143,0,Jizan
S1602_2,16.96581,42.54143,0,Jizan
S1603_0,16.894027,42.568329,0,Jizan
S1603_1,16.894027,42.568329,110,Jizan
S1603_2,16.894027,42.568329,230,Jizan
S1606_0,18.371882,42.69363,20,Remote Aseer
S1606_1,18.371882,42.69363,140,Remote Aseer
S1606_2,18.371882,42.69363,260,Remote Aseer
S1607_0,18.22392,42.55919,0,Abha
S1607_1,18.22392,42.55919,170,Abha
S1607_2,18.22392,42.55919,250,Abha
S1609_0,19.2447,42.8165,80,Remote Aseer
S1609_1,19.2447,42.8165,190,Remote Aseer
S1609_2,19.2447,42.8165,300,Remote Aseer
S1611_0,18.30298,42.69708,20,Khamis Mushait
S1611_1,18.30298,42.69708,120,Khamis Mushait
S1611_2,18.30298,42.69708,300,Khamis Mushait
S1612_0,18.3068,42.75786,0,Khamis Mushait
S1612_1,18.3068,42.75786,110,Khamis Mushait
S1612_2,18.3068,42.75786,240,Khamis Mushait
S1613_0,18.34501,42.74276,30,Khamis Mushait
S1613_1,18.34501,42.74276,150,Khamis Mushait
S1613_2,18.34501,42.74276,300,Khamis Mushait
S1614_0,16.88215,42.54165,150,Jizan
S1614_1,16.88215,42.54165,240,Jizan
S1614_2,16.88215,42.54165,340,Jizan
S1615_0,18.188867,42.57364,120,Remote Aseer
S1615_1,18.188867,42.57364,200,Remote Aseer
S1615_2,18.188867,42.57364,280,Remote Aseer
S1619_0,18.631861,42.09597,30,Remote Aseer
S1619_1,18.631861,42.09597,130,Remote Aseer
S1619_2,18.631861,42.09597,230,Remote Aseer
S1620_0,18.22354,42.4737,30,Abha
S1620_1,18.22354,42.4737,200,Abha
S1620_2,18.22354,42.4737,320,Abha
S1621_0,17.593606,44.300495,80,Najran
S1621_1,17.593606,44.300495,170,Najran
S1621_2,17.593606,44.300495,280,Najran
S1623_0,17.63765,42.12425,30,Remote Jizan
S1623_1,17.63765,42.12425,150,Remote Jizan
S1623_2,17.63765,42.12425,230,Remote Jizan
S1624_0,17.476673,44.212961,0,Najran
S1624_1,17.476673,44.212961,120,Najran
S1624_2,17.476673,44.212961,240,Najran
S1627_0,17.287004,42.3275,80,Remote Jizan
S1627_1,17.287004,42.3275,210,Remote Jizan
S1627_2,17.287004,42.3275,300,Remote Jizan
S1631_0,16.814202,42.906772,20,Remote Jizan
S1631_1,16.814202,42.906772,120,Remote Jizan
S1631_2,16.814202,42.906772,240,Remote Jizan
S1636_0,18.602783,42.027216,180,Muhayel
S1636_1,18.602783,42.027216,240,Muhayel
S1636_2,18.602783,42.027216,350,Muhayel
S1640_0,17.55203,42.68016,0,Remote Jizan
S1640_1,17.55203,42.68016,180,Remote Jizan
S1640_2,17.55203,42.68016,300,Remote Jizan
S1641_0,18.212351,42.269199,30,Remote Aseer
S1641_1,18.212351,42.269199,100,Remote Aseer
S1641_2,18.212351,42.269199,190,Remote Aseer
S1644_0,18.503883,42.503254,0,Remote Aseer
S1644_1,18.503883,42.503254,70,Remote Aseer
S1644_2,18.503883,42.503254,180,Remote Aseer
S1645_0,20.01737,42.61713,0,Bishah
S1645_1,20.01737,42.61713,100,Bishah
S1645_2,20.01737,42.61713,240,Bishah
S1646_0,16.646348,42.912364,50,Remote Jizan
S1646_1,16.646348,42.912364,150,Remote Jizan
S1646_2,16.646348,42.912364,250,Remote Jizan
S1649_0,18.313322,42.591155,0,Remote Aseer
S1649_1,18.313322,42.591155,120,Remote Aseer
S1649_2,18.313322,42.591155,240,Remote Aseer
S1653_0,18.269023,42.708646,50,Remote Aseer
S1653_1,18.269023,42.708646,180,Remote Aseer
S1653_2,18.269023,42.708646,280,Remote Aseer
S1654_0,18.32803,42.77631,0,Khamis Mushait
S1654_1,18.32803,42.77631,180,Khamis Mushait
S1654_2,18.32803,42.77631,280,Khamis Mushait
S1656_0,16.87426,42.55338,0,Jizan
S1656_1,16.87426,42.55338,80,Jizan
S1656_2,16.87426,42.55338,300,Jizan
S1659_0,16.963127,42.539428,0,Jizan
S1659_1,16.963127,42.539428,80,Jizan
S1659_2,16.963127,42.539428,170,Jizan
S1660_0,16.70537,43.03344,40,Remote Jizan
S1660_1,16.70537,43.03344,250,Remote Jizan
S1660_2,16.70537,43.03344,340,Remote Jizan
S1661_0,16.84229,42.96259,0,Remote Jizan
S1661_1,16.84229,42.96259,90,Remote Jizan
S1661_2,16.84229,42.96259,190,Remote Jizan
S1663_0,17.6526,44.52497,90,Remote Najran
S1663_1,17.6526,44.52497,210,Remote Najran
S1663_2,17.6526,44.52497,270,Remote Najran
S1664_0,17.6199,44.53641,50,Najran
S1664_1,17.6199,44.53641,170,Najran
S1664_2,17.6199,44.53641,290,Najran
S1665_0,16.935259,42.617634,50,Jizan
S1665_1,16.935259,42.617634,160,Jizan
S1665_2,16.935259,42.617634,260,Jizan
S1666_0,16.98539,42.59307,20,Remote Jizan
S1666_1,16.98539,42.59307,110,Remote Jizan
S1666_2,16.98539,42.59307,270,Remote Jizan
S1667_0,17.063354,42.901247,30,Remote Jizan
S1667_1,17.063354,42.901247,110,Remote Jizan
S1667_2,17.063354,42.901247,220,Remote Jizan
S1668_0,16.90295,42.60404,40,Jizan
S1668_1,16.90295,42.60404,120,Jizan
S1668_2,16.90295,42.60404,230,Jizan
S1670_0,17.35001,42.40144,0,Remote Jizan
S1670_1,17.35001,42.40144,120,Remote Jizan
S1670_2,17.35001,42.40144,280,Remote Jizan
S1672_0,18.477139,42.062611,30,Muhayel
S1672_1,18.477139,42.062611,155,Muhayel
S1672_2,18.477139,42.062611,280,Muhayel
S1673_0,18.242879,42.580434,0,Abha
S1673_1,18.242879,42.580434,0,Abha
S1674_0,17.10988,42.76459,0,Remote Jizan
S1674_1,17.10988,42.76459,120,Remote Jizan
S1674_2,17.10988,42.76459,240,Remote Jizan
S1675_0,16.956953,42.808708,30,Abu Arish
S1675_1,16.956953,42.808708,150,Abu Arish
S1675_2,16.956953,42.808708,260,Abu Arish
S1677_0,17.568382,44.230155,50,Najran
S1677_1,17.568382,44.230155,160,Najran
S1677_2,17.568382,44.230155,270,Najran
S1679_0,18.187162,42.507236,0,Remote Aseer
S1679_1,18.187162,42.507236,180,Remote Aseer
S1679_2,18.187162,42.507236,300,Remote Aseer
S1681_0,18.189912,42.563009,0,Remote Aseer
S1682_0,17.067455,42.521823,90,Remote Jizan
S1682_1,17.067455,42.521823,170,Remote Jizan
S1682_2,17.067455,42.521823,270,Remote Jizan
S1683_0,16.89592,42.54065,140,Jizan
S1683_1,16.89592,42.54065,240,Jizan
S1683_2,16.89592,42.54065,330,Jizan
S1684_0,18.324404,42.75638,60,Khamis Mushait
S1684_1,18.324404,42.75638,200,Khamis Mushait
S1684_2,18.324404,42.75638,320,Khamis Mushait
S1685_0,18.199,42.52522,0,Abha
S1685_1,18.199,42.52522,0,Abha
S1685_2,18.199,42.52522,0,Abha
S1687_0,17.51702,44.15963,50,Najran
S1687_1,17.51702,44.15963,210,Najran
S1687_2,17.51702,44.15963,300,Najran
S1689_0,17.6738,43.4738,90,Remote Aseer
S1689_1,17.6738,43.4738,170,Remote Aseer
S1689_2,17.6738,43.4738,330,Remote Aseer
S1690_0,17.36327,42.33164,90,Remote Jizan
S1690_1,17.36327,42.33164,180,Remote Jizan
S1690_2,17.36327,42.33164,270,Remote Jizan
S1692_0,16.940956,42.642846,70,Jizan
S1692_1,16.940956,42.642846,140,Jizan
S1692_2,16.940956,42.642846,250,Jizan
S1695_0,17.5022,47.09663,30,Remote Najran
S1695_1,17.5022,47.09663,140,Remote Najran
S1695_2,17.5022,47.09663,290,Remote Najran
S1696_0,17.48733,47.08782,20,Remote Najran
S1696_1,17.48733,47.08782,130,Remote Najran
S1696_2,17.48733,47.08782,250,Remote Najran
S1697_0,18.3822,42.7094,30,Remote Aseer
S1697_1,18.3822,42.7094,200,Remote Aseer
S1697_2,18.3822,42.7094,270,Remote Aseer
S1698_0,18.286245,42.762495,0,Khamis Mushait
S1698_1,18.286245,42.762495,120,Khamis Mushait
S1698_2,18.286245,42.762495,240,Khamis Mushait
S1699_0,18.3299,42.7672,0,Khamis Mushait
S1699_1,18.3299,42.7672,100,Khamis Mushait
S1699_2,18.3299,42.7672,250,Khamis Mushait
S1700_0,18.43722,42.490551,100,Remote Aseer
S1700_1,18.43722,42.490551,220,Remote Aseer
S1700_2,18.43722,42.490551,330,Remote Aseer
S1701_0,16.8961,42.67991,80,Remote Jizan
S1701_1,16.8961,42.67991,230,Remote Jizan
S1701_2,16.8961,42.67991,350,Remote Jizan
S1702_0,18.29389,42.358233,30,Remote Aseer
S1702_1,18.29389,42.358233,130,Remote Aseer
S1702_2,18.29389,42.358233,240,Remote Aseer
S1703_0,18.243172,42.834148,0,Remote Aseer
S1703_1,18.243172,42.834148,100,Remote Aseer
S1703_2,18.243172,42.834148,190,Remote Aseer
S1705_0,18.192039,42.835899,50,Remote Aseer
S1705_1,18.192039,42.835899,150,Remote Aseer
S1705_2,18.192039,42.835899,300,Remote Aseer
S1706_0,18.23848,42.7704,10,Remote Aseer
S1706_1,18.23848,42.7704,120,Remote Aseer
S1706_2,18.23848,42.7704,220,Remote Aseer
S1708_0,16.89291,42.57953,10,Jizan
S1708_1,16.89291,42.57953,140,Jizan
S1708_2,16.89291,42.57953,270,Jizan
S1709_0,16.91467,42.55917,0,Jizan
S1709_1,16.91467,42.55917,140,Jizan
S1709_2,16.91467,42.55917,230,Jizan
S1710_0,16.59449,42.94495,80,Remote Jizan
S1710_1,16.59449,42.94495,245,Remote Jizan
S1710_2,16.59449,42.94495,325,Remote Jizan
S1711_0,18.30857,42.72665,20,Khamis Mushait
S1711_1,18.30857,42.72665,160,Khamis Mushait
S1711_2,18.30857,42.72665,270,Khamis Mushait
S1712_0,18.73274,41.990429,0,Remote Aseer
S1712_1,18.73274,41.990429,160,Remote Aseer
S1712_2,18.73274,41.990429,260,Remote Aseer
S1713_0,18.203192,42.568365,60,Remote Aseer
S1713_1,18.203192,42.568365,185,Remote Aseer
S1713_2,18.203192,42.568365,340,Remote Aseer
S1714_0,18.038829,42.72249,20,Remote Aseer
S1714_1,18.038829,42.72249,160,Remote Aseer
S1714_2,18.038829,42.72249,320,Remote Aseer
S1715_0,16.58328,42.84569,0,Remote Jizan
S1715_1,16.58328,42.84569,90,Remote Jizan
S1715_2,16.58328,42.84569,270,Remote Jizan
S1716_0,16.70772,42.18695,30,Remote Jizan
S1716_1,16.70772,42.18695,130,Remote Jizan
S1716_2,16.70772,42.18695,280,Remote Jizan
S1717_0,17.574455,44.336543,0,Najran
S1717_1,17.574455,44.336543,80,Najran
S1717_2,17.574455,44.336543,200,Najran
S1718_0,18.025765,42.873624,0,Remote Aseer
S1718_1,18.025765,42.873624,125,Remote Aseer
S1718_2,18.025765,42.873624,280,Remote Aseer
