Date,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
9/11/2023,Najran,45180Najran,1975.3301,69.8813,148.5436,6.5262,98.2868,15.1968,180.248,10.989,14.228,5.6508,0,71.3926,92.8921,10.3061,10.3287,9.887,99.9522,99.6252,99.7274,0.003,0.6228,10.3244,22.2018,-108.8819,2.217,2.1522,4.5888,0.0927,0.4617,100
9/11/2023,Muhayel,45180Muhayel,862.1501,29.5948,144.5621,24.4442,108.4916,19.0565,48.4519,17.2261,15.2548,6.763,0,88.4195,95.8534,11.0936,11.1043,10.8856,99.974,,99.8651,0.0022,0.2838,11.1104,23.6763,-112.6667,2.0588,2.1593,3.6359,0.0716,0.2305,100
9/11/2023,Abu Arish,45180Abu Arish,369.7488,9.9927,77.0554,3.9575,82.8322,12.9345,38.1424,9.8027,12.8762,5.3036,0,51.7497,62.6016,11.3273,11.3259,11.3453,99.9859,,99.8897,0.003,0.5479,10.1105,22.0987,-107.7917,2.1103,1.8335,5.1639,0.2203,0.9748,100
9/11/2023,Sabya,45180Sabya,443.3378,11.239,115.1024,5.8504,91.5714,12.98,57.7722,10.9932,13.5165,6.2621,0,80.8891,95.8537,10.5248,10.5657,9.9542,99.9651,,99.728,0.0049,0.3162,10.3093,22.7307,-112.0694,2.1135,2.0469,4.84,0.1986,1.0803,100
9/11/2023,Bishah,45180Bishah,196.0295,8.6081,93.7594,3.8524,67.3669,13.8542,37.6679,7.1105,12.3137,4.7504,0,67.0091,90.4872,10.8385,10.8735,10.5382,99.8146,,99.7128,0.005,0.6149,8.6981,21.8278,-109.8889,2.2811,2.2218,5.6161,0.1693,0.6191,100
9/11/2023,Remote Jizan,45180Remote Jizan,644.0267,17.9344,92.9266,3.1634,78.8886,12.411,87.7377,9.2002,12.888,5.8146,0,66.7,70.0312,11.1905,11.2367,10.4175,99.9622,,99.869,0.0056,0.2799,10.4736,22.2262,-108.2292,2.0812,1.7989,4.8067,0.2796,1.5144,100
9/11/2023,Southern Remote,45180Southern Remote,644.0267,17.9344,92.9266,3.1634,78.8886,12.411,87.7377,9.2002,12.888,5.8146,0,66.7,70.0312,11.1905,11.2367,10.4175,99.9622,,99.869,0.0056,0.2799,10.4736,22.2262,-108.2292,2.0812,1.7989,4.8067,0.2796,1.5144,100
9/11/2023,Southern Region,45180Southern Region,33420.0563,1318.6137,88.925,4.1554,93.6692,15.5849,3451.5951,10.4824,13.375,6.6621,9045,64.4688,93.3918,10.549,10.5866,10.0554,99.9321,99.4362,99.7603,0.0059,0.6329,11.5178,22.1317,-109.3431,2.162,2.0311,5.4225,0.2014,0.8988,99.9339
9/11/2023,Southern City,45180Southern City,29289.3353,1169.1688,91.9941,4.3967,93.5454,15.7036,3026.885,10.1609,13.0039,6.4667,9045,64.2353,94.4334,10.4553,10.4922,9.975,99.9301,99.4357,99.7519,0.0062,0.664,11.4555,22.1328,-109.3674,2.1726,2.0297,5.4242,0.2093,0.8896,99.9251
9/11/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45180Cluster=Jizan CL1,Rule Name=Opt Clusters",5930.3289,197.8097,79.2584,2.5005,81.6255,12.8363,736.3054,14.2741,18.9548,10.1097,8895,56.9501,88.9228,10.6479,10.6785,10.2681,99.9399,99.5675,99.71,0.0052,0.944,11.7341,21.3011,-106.8942,2.2537,2.0602,6.1816,0.2704,1.4476,99.736
