Region,Week,eNodeB Name,Sector id,DL_PRB_Utilization,DL PRB Utilization Range,Users,DL User Thrpt
South Region,WK46_2023,S1613-RULN-HU-01-KMS,0,97.49,Utiliz > 80%,180.66,5.62
South Region,WK46_2023,S3418-RGUF-HU-01-THR,0,97.42,Utiliz > 80%,230.75,7.48
South Region,WK46_2023,S6270-RGUL-HU-01-ABA,2,97.39,Utiliz > 80%,219,4.76
South Region,WK46_2023,S3021-RGUF-HU-01-RJA,1,97.34,Utiliz > 80%,30.21,4.88
South Region,WK46_2023,S6215-R4GF-HU-01-SUB,0,97.31,Utiliz > 80%,49.49,5.3
South Region,WK46_2023,S3325-RGFX-HU-01-DAJ,1,97.31,Utiliz > 80%,126.7,4.04
South Region,WK46_2023,S1937-RGUL-HU-01-BHH,1,97.25,Utiliz > 80%,135.05,4.45
South Region,WK46_2023,S6246-R4GF-HU-01-DMD,2,97.2,Utiliz > 80%,101.47,1.45
South Region,WK46_2023,S6295-R4GF-HU-01-HBN,0,97.07,Utiliz > 80%,11.41,3.42
South Region,WK46_2023,S6318-RGUL-HU-VP-NJR,2,97.07,Utiliz > 80%,251.56,4.51
South Region,WK46_2023,S6133-RGUL-HU-01-RJA,2,97,Utiliz > 80%,191.54,8
South Region,WK46_2023,S3248-RGUF-HU-01-MJR,2,96.97,Utiliz > 80%,31.94,3.91
South Region,WK46_2023,S6091-RUFX-HU-01-SAM,1,96.93,Utiliz > 80%,50.3,5.39
South Region,WK46_2023,S6337-RGUL-HU-01-HBN,0,96.88,Utiliz > 80%,200.06,6.21
South Region,WK46_2023,S6296-RGUL-HU-01-GIZ,2,96.88,Utiliz > 80%,552.26,1.95
South Region,WK46_2023,S6112-R4GF-HU-01-ARD,1,96.8,Utiliz > 80%,55.6,4.55
South Region,WK46_2023,S6198-RULX-HU-01-AHB,2,96.76,Utiliz > 80%,414.49,3.64
South Region,WK46_2023,S6342-RALL-HU-01-NJR,0,96.71,Utiliz > 80%,184.97,3.52
South Region,WK46_2023,S4940-R4GF-HU-HW-KMS,2,96.7,Utiliz > 80%,37.34,3.61
South Region,WK46_2023,S6281-R4GF-HU-01-ABA,1,96.6,Utiliz > 80%,50.81,3.74
South Region,WK46_2023,S1672-RGUL-HU-01-MHL,0,96.58,Utiliz > 80%,187.5,7.68
South Region,WK46_2023,S4839-RGUF-HU-01-BHH,0,96.53,Utiliz > 80%,105.23,8.5
South Region,WK46_2023,S4907-RGUF-HU-HW-MJR,2,96.53,Utiliz > 80%,91.84,4.28
South Region,WK46_2023,S6099-RGUF-HU-HW-ABA,0,96.51,Utiliz > 80%,401.89,3.21
South Region,WK46_2023,S6067-RGUL-HU-HW-GIZ,1,96.49,Utiliz > 80%,231.76,5.33
South Region,WK46_2023,S3412-RGUL-HU-01-NJR,0,96.45,Utiliz > 80%,192.06,5.09
South Region,WK46_2023,S1754-RULX-HU-HW-BHH,2,96.39,Utiliz > 80%,175.75,4.95
South Region,WK46_2023,S1717-RULN-HU-01-NJR,0,96.35,Utiliz > 80%,363.32,3.3
South Region,WK46_2023,S6075-RGUF-HU-01-AHB,0,96.3,Utiliz > 80%,207.09,15.25
South Region,WK46_2023,S6288-RALL-HU-01-NJR,2,96.28,Utiliz > 80%,301.94,4.44
South Region,WK46_2023,S4901-RGUL-HU-HW-BHH,1,96.25,Utiliz > 80%,97.78,5.28
South Region,WK46_2023,S6148-RGUF-HU-01-DYR,1,96.17,Utiliz > 80%,94.41,4.3
South Region,WK46_2023,S6032-RGUL-HU-01-DMD,2,96.14,Utiliz > 80%,283.36,5.38
South Region,WK46_2023,S1674-RGUF-HU-01-GIZ,2,96.07,Utiliz > 80%,178.27,5.77
South Region,WK46_2023,S1597-RGFX-HU-01-DYR,2,96.06,Utiliz > 80%,197.67,6.9
South Region,WK46_2023,S4909-RGUL-HU-HW-KMS,1,96.06,Utiliz > 80%,405.56,4.49
South Region,WK46_2023,S1591-RGLX-HU-01-AHB,0,95.91,Utiliz > 80%,208.68,3.82
South Region,WK46_2023,S6163-RGUF-HU-01-ABA,0,95.84,Utiliz > 80%,34.36,5.14
South Region,WK46_2023,S6031-RGUF-HU-01-DMD,0,95.84,Utiliz > 80%,216.02,4.85
South Region,WK46_2023,S4985-RGUF-HU-01-MHL,1,95.79,Utiliz > 80%,179.3,6.87
South Region,WK46_2023,S3167-RGUL-HU-HW-MHL,1,95.73,Utiliz > 80%,135.77,11.74
South Region,WK46_2023,S1682-RGUL-HU-01-GIZ,1,95.69,Utiliz > 80%,88.5,8.21
South Region,WK46_2023,S3021-RGUF-HU-01-RJA,2,95.67,Utiliz > 80%,18.86,8.44
South Region,WK46_2023,S4723-RGUL-HU-HW-AHR,1,95.63,Utiliz > 80%,171.22,8.66
South Region,WK46_2023,S6288-RALL-HU-01-NJR,0,95.58,Utiliz > 80%,217.06,3.73
South Region,WK46_2023,S6149-R4GF-HU-01-EDB,1,95.47,Utiliz > 80%,25.76,3.75
South Region,WK46_2023,S6097-RGUF-HU-01-HRT,1,95.45,Utiliz > 80%,92.47,7.43
South Region,WK46_2023,S6102-RGUL-HU-01-EDB,2,95.44,Utiliz > 80%,224.53,4.94
South Region,WK46_2023,S6288-RALL-HU-01-NJR,1,95.37,Utiliz > 80%,170.31,4.57
South Region,WK46_2023,S6050-RUFX-HU-HW-ABA,1,95.32,Utiliz > 80%,111.09,1.64
South Region,WK46_2023,S3252-RUFX-HU-01-MJR,0,95.22,Utiliz > 80%,77.26,5.2
South Region,WK46_2023,S6216-RUFX-HU-01-ARD,1,95.22,Utiliz > 80%,120.97,4.25
South Region,WK46_2023,S6247-R4GF-HU-01-SAM,1,95.17,Utiliz > 80%,42.81,3.98
South Region,WK46_2023,S1552-RGLN-HU-HW-NJR,1,95.08,Utiliz > 80%,214.52,5.6
South Region,WK46_2023,S6157-R4GF-HU-01-ARD,0,95,Utiliz > 80%,26.95,7.86
South Region,WK46_2023,S6283-R4GF-HU-01-SAM,0,94.9,Utiliz > 80%,61.77,4.65
South Region,WK46_2023,S4939-R4GF-HU-HW-DAJ,2,94.78,Utiliz > 80%,32.32,5.27
South Region,WK46_2023,S6326-RGUF-HU-HW-NJR,1,94.71,Utiliz > 80%,24.94,7
South Region,WK46_2023,S6021-RGUL-HU-VP-ABA,1,94.63,Utiliz > 80%,210.8,4.98
South Region,WK46_2023,S1660-RUFX-HU-01-SAM,2,94.55,Utiliz > 80%,14.98,4.28
South Region,WK46_2023,S6086-RGUF-HU-01-DMD,2,94.49,Utiliz > 80%,239.4,6.18
South Region,WK46_2023,S6099-RGUF-HU-HW-ABA,2,94.43,Utiliz > 80%,239.04,4.69
South Region,WK46_2023,S4909-RGUL-HU-HW-KMS,2,94.42,Utiliz > 80%,303.81,3.78
South Region,WK46_2023,S3402-R4GF-HU-01-THR,0,94.36,Utiliz > 80%,20.43,10.63
South Region,WK46_2023,S3051-RUFX-HU-HW-AHB,0,94.27,Utiliz > 80%,112.29,7.54
South Region,WK46_2023,S6246-R4GF-HU-01-DMD,0,94.23,Utiliz > 80%,242.03,0.49
South Region,WK46_2023,S6031-RGUF-HU-01-DMD,2,94.23,Utiliz > 80%,233.46,5.07
South Region,WK46_2023,S1939-R4GF-HU-01-BHH,1,94.21,Utiliz > 80%,53.19,6.58
South Region,WK46_2023,S6346-RGUF-HU-01-NJR,2,94.17,Utiliz > 80%,288.59,5.53
South Region,WK46_2023,S4757-RGUF-HU-HW-DAJ,0,94.1,Utiliz > 80%,50,7.36
South Region,WK46_2023,S6270-RGUL-HU-01-ABA,0,94.07,Utiliz > 80%,203.46,4.78
South Region,WK46_2023,S6101-RGUF-HU-VP-SUB,1,94,Utiliz > 80%,265.54,8.06
South Region,WK46_2023,S6141-R4GF-HU-01-DYR,0,93.99,Utiliz > 80%,11.28,2.75
South Region,WK46_2023,S6374-R4GF-HU-HW-BHH,0,93.98,Utiliz > 80%,15.11,7.63
South Region,WK46_2023,S6102-RGUL-HU-01-EDB,0,93.96,Utiliz > 80%,324.78,4.73
South Region,WK46_2023,S4989-RGUF-HU-HW-MJR,2,93.89,Utiliz > 80%,56.28,6.13
South Region,WK46_2023,S6375-R4GF-HU-HW-KBH,1,93.83,Utiliz > 80%,8.97,3.59
South Region,WK46_2023,S3099-RGUF-HU-01-AHR,0,93.75,Utiliz > 80%,203,11.17
South Region,WK46_2023,S6120-RUFX-HU-01-DYR,1,93.68,Utiliz > 80%,128.97,5.14
