"access.to.weapons","neighbouring.country.relations","organised.conflict..internal.","political.instability","political.terror","violent.crime","violent.demonstrations","log.gdp.per.capita","social.support","healthy.life.expectancy.at.birth","freedom.to.make.life.choices","generosity","perceptions.of.corruption","positive.affect","negative.affect","armed.services.personnel","deaths.from.conflict..external.","deaths.from.conflict..internal.","displaced.people","domestic...international.conflict","external.conflicts.fought","homicides","internal.conflicts.fought","jailed.population","militarisation","military.expenditure","nuclear.and.heavy.weapons","perceived.criminality.in.society","safety...security","security.officers...police","terrorist.activity","un.peacekeeping.funding","weapons.exports","weapons.imports","purchasing.power.index","safety.index","health.care.index","cost.of.living.index","property.price.to.income.ratio","traffic.commute.time.index","pollution.index","climate.index","cumulative_index"
"3","2.5","3","3.375","4","4","4",0.570749736008448,0.571183533447684,0.451570964247021,0.139802631578947,0.225842696629213,0.899568034557235,0.314009661835749,0.62987012987013,0.19375,0,0.01075,0.000749999999999973,0.316043956043956,0,0.122448979591837,0.01325,0.111613074674462,0.350389698407319,0.307911908646003,0.60375,0.185963114754098,0.700950020652623,0.860879243183083,0.54711900915455,0.0775991963837268,0,0.10125,0.136259977194983,0.570247933884298,0.57037037037037,0.207934336525308,0.048024012006003,0.946,1,0.851704611792177,1.05898190557589
"2","1","1","1.125","1.5","1.5","1",0.83086941217881,0.914236706689537,0.866738894907909,0.779605263157895,0.207865168539326,0.605831533477322,0.711755233494364,0.316017316017316,0.1435,0,0,0,0.0492307692307693,0.30625,0.146683673469388,0,0.1450969970768,0.597424601829888,0.331566068515498,1,0.343237704918033,0.193308550185874,0.312186978297162,0.484921917070544,0.0492214967353089,0.98575,0.01675,0.499429874572406,0.5633608815427,0.792592592592593,0.571135430916553,0.0415207603801901,0.346,0.44045534150613,0.851704611792177,1.76642423976443
"2","1","1","1","1","2","1",0.857796550510384,0.895368782161235,0.807800650054172,0.883223684210526,0.455056179775281,0.682505399568035,0.702093397745572,0.136363636363636,0.11675,0,0,0,0.0351648351648352,0.21875,0.105867346938776,0,0.115599255912835,0.411385970857336,0.199021207177814,0.28975,0.256659836065574,0.152416356877323,0.309682804674457,0.368336025848142,0.0678051230537418,0.96025,0.0445,0.632269099201825,0.888429752066116,0.663703703703704,0.495212038303694,0.0130065032516258,0.428,0.294220665499124,0.851704611792177,1.93524568518786
"3","2","2","1.75","2","3","2",0.75818373812038,0.699828473413379,0.813001083423619,0.00986842105263159,0.0337078651685394,0.98488120950324,0.452495974235105,0.53030303030303,0.492,0,0,0,0.202197802197802,0.15625,0.156887755102041,0,0.151474887058198,0.549644188410708,0.553425774877651,0.3155,0.564549180327869,0.427096241222635,0.602114635503617,0.457458266020463,0.415369161225515,0,1,0.237742303306728,0.464187327823691,0.364444444444444,0.530095759233926,0.0445222611305653,0.53,0.668126094570928,0.851704611792177,1.2736422788564
"1","2","2","1.5","1.5","2","1",0.734952481520591,0.86106346483705,0.637919826652221,0.332236842105263,0.22247191011236,0.953563714902808,0.513687600644122,0.45021645021645,0.0875,0,0,0.001,0.202197802197802,0.15625,0.158163265306122,0,0.279564177517938,0.0894611995933582,0.150081566068516,0.0145,0.499231557377049,0.201156546881454,0.0150250417362271,0.0549273021001615,0.291813159216474,0.00600000000000001,0.07975,0.198403648802737,0.760330578512397,0.485925925925926,0.294117647058824,0.0420210105052526,0.26,0.689141856392294,0.851704611792177,1.02918060507373
"4","3","3","1.25","4","3","1",0.436466033086941,0.183533447684391,0.286890574214518,0.398026315789474,0.452808988764045,0.845572354211663,0.452495974235105,0.406926406926407,0.042,0,0.53425,0,0.662417582417583,0,0.346938775510204,0.658,0,0.493730938664859,0.432707993474715,1,0.448258196721312,0.42998760842627,0.0664997217584864,0.87668282175552,0.149171270718232,5e-04,0.03475,0.335233751425314,0.552341597796143,0.477037037037037,0.0950752393980848,0.0380190095047524,0.732,0.800350262697023,0.851704611792177,1.44070497767007
"2","2","2","1.625","3","4","1.75",0.55684618092221,0.737564322469983,0.44377031419285,0.662828947368421,0.775280898876404,0.988120950323974,0.806763285024155,0.264069264069264,0.04675,0,0,5e-04,0.177142857142857,0,0.0612244897959184,0,0.0401275577996279,0.128431040325313,0.0938009787928222,0.125,0.203637295081967,0.370508054522924,0.1110183639399,0.574851911685514,0.134354595680563,0.000249999999999972,0.02525,0.0957810718358039,0.851239669421487,0.991111111111111,0.212722298221614,0.188094047023512,0.5,0.282837127845884,0.851704611792177,1.1945440080613
"2","1","2","1","1","2","1",0.870116156282999,0.957118353344768,0.82080173347779,0.879934210526316,0.713483146067416,0.568034557235421,0.737520128824477,0.281385281385281,0.09175,0,0,0,0.108571428571429,0.125,0.130102040816327,0,0.134732925857029,0.157234835648933,0.0742251223491028,0.00600000000000001,0.319928278688525,0.160264353572904,0.337228714524207,0.237479806138934,0.0642893018583626,0.25475,0.0385,0.464652223489168,0.545454545454545,0.205925925925926,0.642270861833105,0.0185092546273137,0,0.295096322241681,0.851704611792177,1.68976498424612
"3","4","3","2.25","4","2","1",0.79831045406547,0.855917667238422,0.873672806067173,0.516447368421053,0.548314606741573,0.880129589632829,0.560386473429952,0.458874458874459,1,0.0209163346613546,0.02175,0.0015,0.511208791208791,0,0.23469387755102,0.31575,0.504650544778103,1,1,1,0.436987704918033,0.498967368855845,0.426822481914302,0.603123317178245,0.0522350577599196,1,0.8765,0.40193842645382,0.618457300275482,0.955555555555556,0.535567715458276,0.0365182591295648,0.698,0.32661996497373,0.851704611792177,2.31171149523625
"3","1","1","1.25","2","3","1",0.825413586765223,0.797598627787307,0.86240520043337,0.333881578947368,0.502247191011236,0.929805615550756,0.624798711755233,0.608225108225108,0.11575,0,0,0,0.025054945054945,0.15625,0.107142857142857,0,0.172468774913633,0.352422907488987,0.25326264274062,0.2885,0.380379098360656,0.323420074349442,0.578185865331107,0.379913839526117,0.167754897036665,0.3635,0.06425,0.367160775370582,0.399449035812672,0.601481481481481,0.538303693570451,0.0520260130065032,0.522,0.647985989492119,0.851704611792177,1.32119786763515
